Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Year,Kilometers,Owner,State,Accidental,Price
Hyundai,Aura,Magna,Sedan,Manual,Petrol,2022,41595,1st,Uttar Pradesh,No,1083000
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2015,81075,2nd,Gujarat,No,412658
Hyundai,Verna,SX,Sedan,Manual,Petrol,2011,56963,1st,Maharashtra,No,550035
Hyundai,Creta,Magna,SUV,Automatic,Petrol,2015,156616,2nd,Delhi,No,528273
Maruti Suzuki,Baleno,L,Hatchback,Manual,CNG,2018,144095,1st,Maharashtra,No,895356
Ford,Figo,Trend,Sedan,Manual,Diesel,2015,154823,1st,Maharashtra,No,493762
BMW,5 Series,Sport,Luxury,Manual,Petrol,2020,31389,1st,West Bengal,No,2299000
Maruti Suzuki,Dzire,L,Sedan,Automatic,Diesel,2016,136997,1st,Gujarat,No,579348
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2022,16484,1st,Gujarat,No,2019600
Maruti Suzuki,Alto,L,Hatchback,Manual,Petrol,2005,43132,2nd,Tamil Nadu,No,613324
Tata,Altroz,XE,Hatchback,Manual,Petrol,2023,178219,1st,Maharashtra,No,247500
Volkswagen,Ameo,Trendline,Sedan,Manual,Diesel,2020,106581,1st,Tamil Nadu,No,1018875
Hyundai,Verna,SX,Sedan,Manual,Petrol,2011,56187,2nd,Telangana,No,792051
Jaguar,XE,Prestige,Sedan,Manual,Petrol,2021,69039,1st,Maharashtra,No,909150
Tata,Nexon,XE,SUV,Automatic,Petrol,2017,55726,2nd,Punjab,No,646842
Toyota,Urban Cruiser,G+,SUV,Manual,Diesel,2021,46267,2nd,Uttar Pradesh,Yes,488348
Honda,Brio,VX,Hatchback,Manual,Hybrid,2019,112576,2nd,Rajasthan,No,875605
Hyundai,Creta,Asta,SUV,Automatic,Electric,2020,11067,1st,Telangana,No,2096325
Mahindra,TUV300,AX5,SUV,Manual,Diesel,2020,32475,1st,Rajasthan,No,798000
Honda,City,VX,Sedan,Manual,Petrol,2022,109965,1st,Gujarat,No,313500
Maruti Suzuki,Celerio,ZX,Hatchback,Manual,Diesel,2023,158005,2nd,Maharashtra,No,784080
Volkswagen,Vento,GT,Sedan,Manual,Hybrid,2022,12104,1st,North East,No,852862
Renault,Kwid,RXE,Hatchback,Manual,Petrol,2017,117087,2nd,Maharashtra,No,1016400
Ford,Aspire,Ambiente,Sedan,Manual,Petrol,2018,84985,1st,Karnataka,No,636405
Toyota,Urban Cruiser,E,SUV,Manual,Petrol,2022,108368,1st,Madhya Pradesh,No,1421437
Hyundai,i20,Magna,Hatchback,Automatic,Petrol,2015,165099,1st,Jharkhand,No,713212
Maruti Suzuki,Swift,L,Sedan,Manual,Petrol,2018,49985,1st,Uttar Pradesh,No,181944
Honda,WR-V,S,SUV,Manual,Petrol,2018,58511,1st,Tamil Nadu,No,1055092
Hyundai,Venue,Asta,SUV,Manual,Petrol,2022,79908,1st,Tamil Nadu,No,1708245
Maruti Suzuki,Ertiga,L,MPV,Automatic,Petrol,2012,147686,2nd,Delhi,No,379494
Maruti Suzuki,Baleno,Base,Hatchback,Manual,Diesel,2020,127935,1st,Maharashtra,No,742500
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Petrol,2017,48184,2nd,Telangana,No,338800
Honda,Brio,V,Hatchback,Automatic,Diesel,2014,33052,1st,Maharashtra,No,665500
Maruti Suzuki,Ignis,V,Hatchback,Manual,CNG,2023,39505,1st,Rajasthan,No,1263500
Ford,Aspire,Titanium+,Sedan,Manual,Diesel,2015,27208,1st,Maharashtra,No,438900
Maruti Suzuki,Dzire,L,Sedan,Automatic,Petrol,2022,143042,2nd,Karnataka,Yes,588698
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Electric,2019,41799,1st,West Bengal,Yes,216693
Volkswagen,Vento,GT,Sedan,Manual,Diesel,2014,178918,2nd,Maharashtra,No,227601
Tata,Tiago,XM,Hatchback,Manual,Petrol,2021,129217,2nd,Uttar Pradesh,No,1191300
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2020,53312,1st,Karnataka,No,1240272
Hyundai,Aura,Magna,Sedan,Manual,Diesel,2021,89456,1st,Maharashtra,No,909150
Hyundai,Verna,Era,Sedan,Manual,Petrol,2021,123712,1st,West Bengal,No,1254000
Honda,Jazz,VX,Sedan,Manual,Petrol,2015,52891,2nd,Gujarat,No,952061
Renault,Kiger,RXZ,SUV,Manual,Petrol,2022,18474,1st,Delhi,No,1501500
Honda,WR-V,ZX,SUV,Manual,CNG,2020,54276,1st,Maharashtra,No,824780
Maruti Suzuki,Alto,ZX,Hatchback,Manual,Petrol,2021,64454,1st,Punjab,Yes,230995
Ford,EcoSport,Trend+,SUV,Manual,Petrol,2016,23787,2nd,Gujarat,No,426888
Kia,Sonet,GTX,SUV,Manual,Petrol,2020,164428,1st,Delhi,No,1472625
Hyundai,Aura,Asta,Sedan,Manual,Diesel,2020,88747,1st,Delhi,No,1454640
Hyundai,Verna,Base,Sedan,Manual,Petrol,2013,150189,2nd,Maharashtra,No,189667
Tata,Tigor,XZA+,Sedan,Manual,Petrol,2023,167664,2nd,Tamil Nadu,No,1241460
Tata,Tigor,XM,Sedan,Manual,Diesel,2021,100047,1st,Madhya Pradesh,No,1353750
Maruti Suzuki,Dzire,V,Sedan,Manual,Diesel,2010,22148,1st,Telangana,No,862125
Ford,Aspire,Ambiente,Sedan,Manual,Diesel,2015,73502,2nd,Tamil Nadu,No,1008065
Maruti Suzuki,WagonR,Z,Hatchback,Manual,Petrol,2011,113252,3rd+,Maharashtra,No,142931
Hyundai,Verna,Era,Sedan,Manual,Petrol,2018,150432,1st,Madhya Pradesh,No,142143
Maruti Suzuki,Dzire,V,Sedan,Manual,Diesel,2017,173661,1st,Maharashtra,No,1042387
Volkswagen,Vento,Comfortline,Sedan,Manual,Petrol,2013,91262,2nd,Maharashtra,No,132008
Mahindra,TUV300,W8,SUV,Manual,Diesel,2015,43776,1st,Maharashtra,No,889350
Honda,City,ZX,Sedan,Manual,Petrol,2012,74509,1st,Kerala,No,839509
Maruti Suzuki,Ertiga,Base,MPV,Manual,CNG,2020,150427,1st,Delhi,No,1254000
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2010,178977,3rd+,West Bengal,No,374343
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2013,158129,2nd,Tamil Nadu,No,436993
Tata,Harrier,XZA+,SUV,Manual,Petrol,2023,159279,1st,Maharashtra,No,519750
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Petrol,2019,123917,1st,Maharashtra,No,462000
Hyundai,Grand i10,Era,Hatchback,Manual,Petrol,2018,56043,2nd,Goa,No,661861
Mahindra,Bolero,W11,SUV,Automatic,Petrol,2018,125845,2nd,Telangana,No,528273
Ford,Endeavour,Titanium+,SUV,Manual,Diesel,2009,147808,2nd,Maharashtra,No,670824
Renault,Kiger,RXZ,SUV,Automatic,Petrol,2021,119889,1st,Tamil Nadu,No,476437
Chevrolet,Beat,LS,Hatchback,Manual,Electric,2012,41711,1st,Gujarat,No,266200
Renault,Kwid,RXL,Hatchback,Manual,Petrol,2017,117393,1st,Delhi,Yes,780734
Hyundai,Grand i10,SX,Hatchback,Manual,CNG,2015,170118,1st,Rajasthan,No,426431
Mahindra,TUV300,AX7,SUV,Automatic,Petrol,2019,36933,1st,Tamil Nadu,No,1156155
Maruti Suzuki,Alto,ZX,Hatchback,Manual,Petrol,2007,109511,2nd,Tamil Nadu,No,431244
Honda,Amaze,ZX,Sedan,Manual,Diesel,2020,82688,1st,Andhra Pradesh,No,1695978
Hyundai,i20,Era,Hatchback,Manual,Petrol,2009,87425,3rd+,West Bengal,Yes,260611
Maruti Suzuki,Dzire,Base,Sedan,Manual,Diesel,2009,175444,3rd+,Maharashtra,No,258637
Mahindra,XUV500,W8(O),SUV,Manual,Petrol,2014,62867,2nd,Odisha,No,714046
Maruti Suzuki,Alto,ZX,Hatchback,Automatic,Petrol,2023,20032,1st,Gujarat,No,522720
Renault,Kwid,RXT,Hatchback,Manual,Diesel,2017,93177,1st,Odisha,No,173565
Maruti Suzuki,Alto,Base,Hatchback,Manual,Petrol,2014,110016,3rd+,Maharashtra,No,204187
Maruti Suzuki,WagonR,Z,Hatchback,Manual,Diesel,2023,75662,1st,Tamil Nadu,Yes,814935
Audi,A6,Technology,Sedan,Manual,Petrol,2023,123120,2nd,Maharashtra,No,1103520
Maruti Suzuki,Dzire,V,Sedan,Automatic,Diesel,2010,116869,2nd,Bihar,No,684699
Maruti Suzuki,S-Presso,Z,Hatchback,Manual,Petrol,2020,29637,1st,Karnataka,No,346500
MG,Hector,Savvy,SUV,Manual,Petrol,2019,164606,2nd,Tamil Nadu,No,747054
Maruti Suzuki,Ertiga,Z,MPV,Manual,Petrol,2013,156979,3rd+,Maharashtra,No,464526
Hyundai,Grand i10,SX,Hatchback,Manual,Petrol,2020,78586,1st,Delhi,No,957000
Honda,City,V,Sedan,Automatic,Petrol,2018,42015,2nd,Maharashtra,No,566473
Renault,Kwid,RXT,Hatchback,Manual,Diesel,2019,146439,1st,Maharashtra,No,288750
MG,Hector,Sharp,SUV,Manual,CNG,2021,17621,1st,Delhi,No,1097250
Volkswagen,Taigun,Trendline,SUV,Manual,Diesel,2023,67275,2nd,Tamil Nadu,No,1326402
Volkswagen,Ameo,Highline+,Sedan,Manual,Petrol,2016,81159,2nd,Karnataka,No,392025
Toyota,Glanza,V,Hatchback,Manual,Petrol,2023,54973,1st,Maharashtra,No,574200
Honda,WR-V,ZX,SUV,Manual,Petrol,2017,127152,2nd,Tamil Nadu,No,633928
Tata,Altroz,XE,Hatchback,Manual,Petrol,2020,142936,1st,North East,No,1353750
Maruti Suzuki,Swift,Base,Sedan,Automatic,Petrol,2021,110798,1st,Telangana,No,1551825
Honda,Brio,S,Hatchback,Automatic,CNG,2013,131304,2nd,Punjab,No,216220
Maruti Suzuki,Ertiga,Base,MPV,Manual,Diesel,2023,63620,1st,Karnataka,No,1435500
Honda,WR-V,ZX,SUV,Automatic,Diesel,2020,43968,1st,Delhi,No,1372140
Volkswagen,Vento,GT,Sedan,Manual,Petrol,2011,165992,3rd+,Maharashtra,Yes,392825
Kia,Seltos,HTK,SUV,Manual,Petrol,2022,21338,1st,Maharashtra,No,462000
Honda,City,S,Sedan,Manual,Petrol,2022,98950,1st,Delhi,No,636405
Toyota,Fortuner,V,SUV,Manual,Petrol,2017,81631,1st,Delhi,No,1195771
Volkswagen,Vento,Highline+,Sedan,Manual,Diesel,2022,43023,2nd,Delhi,No,551760
Hyundai,Creta,SX,SUV,Automatic,Electric,2022,83153,1st,Delhi,No,972694
Skoda,Rapid,Monte Carlo,Sedan,Manual,Petrol,2013,96972,2nd,Maharashtra,No,836054
Mahindra,Thar,W11,SUV,Manual,Petrol,2023,58436,1st,Maharashtra,No,904365
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Diesel,2018,58704,1st,Telangana,No,1125432
Hyundai,Verna,Sportz,Sedan,Manual,CNG,2006,175933,2nd,Karnataka,No,432441
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2023,16042,1st,Himachal Pradesh,No,1846800
Maruti Suzuki,Swift,L,Sedan,Manual,Petrol,2023,161528,2nd,Uttar Pradesh,No,343094
Maruti Suzuki,S-Presso,ZX,Hatchback,Automatic,Petrol,2022,80510,1st,Karnataka,No,1364299
Volkswagen,Taigun,Highline+,SUV,Manual,Hybrid,2022,77685,1st,Delhi,No,633055
Honda,WR-V,ZX,SUV,Manual,Diesel,2019,92609,1st,Karnataka,No,1367399
Maruti Suzuki,Swift,Z,Sedan,Manual,Petrol,2019,137175,1st,Delhi,No,864084
Volkswagen,Polo,Highline,Hatchback,Manual,Diesel,2019,139690,2nd,Maharashtra,No,254100
Maruti Suzuki,Baleno,L,Hatchback,Manual,Petrol,2020,94138,2nd,Kerala,No,837872
Maruti Suzuki,WagonR,V,Hatchback,Manual,Petrol,2002,108725,2nd,Gujarat,No,479160
Toyota,Innova,G+,MPV,Manual,CNG,2016,138341,2nd,Gujarat,No,337953
Honda,WR-V,V,SUV,Manual,Petrol,2020,28710,1st,Tamil Nadu,No,1039500
Ford,Endeavour,Titanium,SUV,Manual,Petrol,2021,142862,1st,Tamil Nadu,No,606375
Hyundai,Verna,Era,Sedan,Manual,Petrol,2021,132728,1st,Kerala,No,879937
Maruti Suzuki,S-Presso,L,Hatchback,Manual,Diesel,2023,47837,2nd,Kerala,No,1123584
Jaguar,XE,Portfolio,Sedan,Automatic,Diesel,2017,59610,1st,Uttar Pradesh,No,181375
Ford,Aspire,Ambiente,Sedan,Manual,CNG,2015,97737,1st,Tamil Nadu,No,362750
Audi,Q7,Premium,Luxury,Manual,Petrol,2018,129054,1st,Delhi,No,1206975
Tata,Harrier,XZA,SUV,Manual,Petrol,2023,123992,2nd,Karnataka,No,1448370
Maruti Suzuki,Swift,Base,Sedan,Manual,Diesel,2018,75580,1st,Rajasthan,No,164886
Honda,Amaze,V,Sedan,Manual,Petrol,2021,175230,1st,Punjab,No,1218375
Skoda,Superb,Monte Carlo,Sedan,Manual,Hybrid,2019,135090,1st,Karnataka,No,172816
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Diesel,2022,96933,2nd,Punjab,No,785505
Tata,Altroz,XZA+,Hatchback,Manual,Petrol,2023,100393,2nd,Maharashtra,No,653400
Maruti Suzuki,WagonR,ZX,Hatchback,Manual,Petrol,2015,107773,2nd,Uttar Pradesh,No,474012
Hyundai,Venue,Asta,SUV,Manual,Petrol,2019,111099,1st,Delhi,Yes,859838
Maruti Suzuki,Ignis,Z,Hatchback,Manual,CNG,2022,91038,2nd,Uttar Pradesh,No,1378453
Hyundai,Creta,Sportz,SUV,Manual,Diesel,2021,63241,1st,Delhi,No,1306305
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Petrol,2015,116728,1st,Maharashtra,No,635250
Maruti Suzuki,Ertiga,Z,MPV,Manual,Petrol,2019,74591,1st,Rajasthan,No,911216
Volkswagen,Ameo,GT,Sedan,Automatic,Petrol,2020,121200,1st,Maharashtra,No,689700
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Petrol,2018,88115,2nd,Maharashtra,No,1114177
Maruti Suzuki,Swift,Z,Sedan,Manual,CNG,2011,99045,2nd,Delhi,No,263357
Mahindra,Bolero,W8(O),SUV,Manual,Petrol,2004,173902,2nd,Karnataka,No,209632
Maruti Suzuki,S-Presso,Z,Hatchback,Automatic,Petrol,2019,91235,1st,Tamil Nadu,No,386867
Honda,Brio,VX,Hatchback,Manual,Diesel,2015,72283,2nd,Karnataka,No,1002170
Maruti Suzuki,Dzire,Z,Sedan,Manual,Diesel,2012,127100,2nd,Uttar Pradesh,No,137595
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2017,129664,1st,Tamil Nadu,No,1053360
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Petrol,2016,39658,1st,Maharashtra,No,1330560
BMW,X3,M Sport,Luxury,Manual,Petrol,2022,25908,1st,Goa,No,731500
Maruti Suzuki,Ignis,Base,Hatchback,Automatic,Petrol,2017,108389,1st,Maharashtra,No,1143450
Range Rover,Evoque,HSE,Luxury,Manual,Petrol,2012,60239,1st,Rajasthan,No,600039
Audi,A4,Premium Plus,Sedan,Manual,Petrol,2010,151474,2nd,Madhya Pradesh,No,98282
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Petrol,2020,48823,1st,Karnataka,No,2194500
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2018,164725,2nd,Karnataka,No,926956
Mahindra,Thar,W6,SUV,Manual,Petrol,2021,135793,2nd,Gujarat,No,914760
Maruti Suzuki,S-Presso,ZX,Hatchback,Manual,Petrol,2022,127603,2nd,Telangana,No,392040
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Diesel,2015,98936,2nd,Andhra Pradesh,No,962244
Maruti Suzuki,Baleno,V,Hatchback,Manual,Petrol,2022,46360,1st,Gujarat,Yes,1248691
Toyota,Fortuner,G+,SUV,Automatic,Diesel,2014,14311,1st,West Bengal,Yes,795526
Toyota,Glanza,V,Hatchback,Manual,Petrol,2022,172571,2nd,Madhya Pradesh,No,250800
Tata,Tiago,XZA+,Hatchback,Manual,Diesel,2020,75900,2nd,Delhi,No,421080
Renault,Triber,RXL,MPV,Manual,Petrol,2020,61482,2nd,Maharashtra,No,926376
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2010,120916,3rd+,Maharashtra,No,517275
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,CNG,2019,131975,2nd,Delhi,No,677837
Toyota,Glanza,ZX,Hatchback,Manual,Petrol,2019,169014,1st,Karnataka,No,1185030
Hyundai,i10,Era,Hatchback,Manual,Petrol,2011,51447,1st,Chhattisgarh,No,500032
Hyundai,Aura,Asta,Sedan,Manual,Diesel,2023,126859,1st,Delhi,No,470250
Toyota,Glanza,V,Hatchback,Automatic,Petrol,2020,150178,1st,Gujarat,No,1815000
Maruti Suzuki,Ignis,L,Hatchback,Manual,Petrol,2021,142695,1st,Delhi,Yes,313026
Renault,Kiger,RXL,SUV,Automatic,Petrol,2022,162177,2nd,Karnataka,No,1677060
Honda,Jazz,E,Sedan,Manual,Petrol,2017,42655,1st,Karnataka,No,1170400
Skoda,Slavia,Ambition,Sedan,Manual,Diesel,2022,77915,1st,Karnataka,No,1636470
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Diesel,2014,42517,2nd,Rajasthan,No,283052
Hyundai,Grand i10,Magna,Hatchback,Manual,Diesel,2014,113835,2nd,West Bengal,No,479160
Maruti Suzuki,Ertiga,Z,MPV,Manual,Diesel,2017,126727,1st,Telangana,No,181912
Toyota,Etios,ZX,Sedan,Manual,Diesel,2019,16932,2nd,Gujarat,No,1320913
Jaguar,F-Pace,Pure,Luxury,Manual,Diesel,2019,33070,2nd,Karnataka,No,1416184
Honda,Brio,V,Hatchback,Manual,Diesel,2012,155854,3rd+,Maharashtra,No,374343
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Petrol,2023,12813,1st,Gujarat,No,1848000
Hyundai,i20,SX(O),Hatchback,Manual,Diesel,2014,163251,2nd,Chhattisgarh,No,551760
Maruti Suzuki,Dzire,V,Sedan,Manual,Diesel,2010,62742,1st,Delhi,No,550035
Hyundai,Aura,SX(O),Sedan,Manual,Petrol,2023,179620,1st,Maharashtra,No,235125
Maruti Suzuki,Ignis,V,Hatchback,Automatic,Petrol,2022,98669,1st,Karnataka,No,1157970
Hyundai,i10,Sportz,Hatchback,Automatic,Petrol,2011,108745,2nd,Karnataka,No,614922
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2015,19693,1st,Delhi,No,1389850
Renault,Kiger,RXL,SUV,Manual,Diesel,2022,72681,1st,Kerala,Yes,591999
Maruti Suzuki,Ignis,V,Hatchback,Manual,Electric,2019,151936,1st,Gujarat,No,381150
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Petrol,2019,36138,1st,Maharashtra,No,1501038
Maruti Suzuki,Ertiga,L,MPV,Manual,CNG,2013,106518,2nd,West Bengal,No,145664
Maruti Suzuki,Alto,Base,Hatchback,Manual,CNG,2011,48670,2nd,Kerala,No,218405
Hyundai,Creta,SX(O),SUV,Manual,Petrol,2022,138639,2nd,Andhra Pradesh,No,724185
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Diesel,2018,42918,1st,Telangana,No,693000
MG,Hector,Smart,SUV,Manual,CNG,2023,147341,1st,Karnataka,No,658350
Volkswagen,Taigun,Highline+,SUV,Manual,Diesel,2021,112610,2nd,Maharashtra,No,686070
MG,ZS EV,Savvy,Luxury,Manual,Petrol,2022,167479,1st,Telangana,No,1542750
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2009,27550,1st,Gujarat,No,862125
Maruti Suzuki,Ignis,L,Hatchback,Automatic,Petrol,2018,68929,1st,West Bengal,No,212224
Maruti Suzuki,S-Presso,V,Hatchback,Manual,Diesel,2019,82194,2nd,Tamil Nadu,No,766365
Hyundai,Creta,SX(O),SUV,Manual,Diesel,2017,178500,1st,Rajasthan,No,680793
Mahindra,Scorpio,W11,SUV,Manual,Petrol,2009,63104,2nd,Karnataka,No,145904
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2003,48091,1st,Gujarat,No,847000
Maruti Suzuki,Celerio,Z,Hatchback,Automatic,Petrol,2022,13982,1st,Tamil Nadu,No,2032800
Hyundai,Venue,SX,SUV,Manual,Petrol,2023,40276,1st,Karnataka,No,577500
Toyota,Urban Cruiser,G,SUV,Manual,Diesel,2022,175506,1st,Gujarat,No,346500
Mahindra,Bolero,W6,SUV,Manual,Diesel,2017,29336,2nd,Maharashtra,Yes,909490
Renault,Kwid,RXL,Hatchback,Manual,Petrol,2019,117393,2nd,Uttar Pradesh,Yes,376223
Maruti Suzuki,Baleno,Base,Hatchback,Manual,Electric,2017,115656,2nd,Tamil Nadu,No,279510
Hyundai,i10,Base,Hatchback,Manual,Diesel,2008,144294,2nd,Maharashtra,No,559020
Volkswagen,Polo,Trendline,Hatchback,Manual,Diesel,2012,136208,3rd+,Rajasthan,No,382078
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Electric,2013,41176,1st,Maharashtra,Yes,305696
Toyota,Fortuner,V,SUV,Manual,Diesel,2016,25905,1st,Madhya Pradesh,No,488774
Hyundai,Verna,Asta,Sedan,Automatic,Diesel,2020,38208,1st,Karnataka,No,1609300
Maruti Suzuki,Alto,V,Hatchback,Automatic,Petrol,2009,139458,3rd+,Haryana,No,646593
Hyundai,i10,Magna,Hatchback,Manual,Petrol,2009,101181,3rd+,West Bengal,No,544500
Maruti Suzuki,WagonR,ZX,Hatchback,Manual,Petrol,2022,66674,2nd,Uttarakhand,No,706955
Chevrolet,Cruze,LT,Sedan,Manual,Diesel,2010,157181,2nd,Maharashtra,Yes,444878
Renault,Kwid,RXT,Hatchback,Manual,Petrol,2022,52598,2nd,Tamil Nadu,No,926376
Hyundai,i10,Base,Hatchback,Manual,Petrol,2010,118229,3rd+,Haryana,No,352687
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Diesel,2022,65692,1st,Karnataka,No,1033560
Mahindra,Thar,W11,SUV,Manual,Diesel,2015,96136,2nd,Delhi,No,1237975
Maruti Suzuki,Baleno,L,Hatchback,Manual,Diesel,2020,67457,1st,Maharashtra,No,1561824
Toyota,Etios,ZX,Sedan,Automatic,Petrol,2013,142026,2nd,Gujarat,No,901299
Ford,Figo,Trend+,Sedan,Manual,Petrol,2010,97210,3rd+,West Bengal,No,262517
Hyundai,Aura,Magna,Sedan,Automatic,CNG,2020,147425,1st,Telangana,No,819018
Volkswagen,Vento,Highline,Sedan,Manual,Diesel,2012,40459,1st,Gujarat,No,287375
Maruti Suzuki,S-Presso,Z,Hatchback,Automatic,Petrol,2021,71051,1st,Puducherry,No,1909215
Honda,WR-V,VX,SUV,Manual,Electric,2022,18451,1st,Rajasthan,No,1316700
Toyota,Urban Cruiser,VX,SUV,Manual,Petrol,2021,32049,1st,Tamil Nadu,No,1501500
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Diesel,2020,118929,2nd,Gujarat,No,381150
Tata,Altroz,XE,Hatchback,Manual,Petrol,2023,131670,1st,Assam,Yes,593637
Tata,Tiago,XZ,Hatchback,Manual,CNG,2023,121814,2nd,Karnataka,No,206910
Maruti Suzuki,S-Presso,L,Hatchback,Manual,Diesel,2020,158201,1st,Tamil Nadu,No,1504800
Mahindra,XUV500,W6,SUV,Manual,Petrol,2011,32775,1st,Karnataka,No,635250
Hyundai,Aura,Asta,Sedan,Manual,Petrol,2023,97112,2nd,Karnataka,No,1280083
Maruti Suzuki,WagonR,V,Hatchback,Manual,Diesel,2011,82947,2nd,Tamil Nadu,No,231594
BMW,X3,Luxury Line,Luxury,Automatic,Petrol,2016,138858,2nd,Maharashtra,No,368953
Ford,Figo,Trend,Sedan,Manual,Petrol,2018,44124,1st,Karnataka,No,438900
Mahindra,Thar,AX7,SUV,Manual,Petrol,2023,84235,1st,Rajasthan,Yes,907522
Hyundai,i20,Era,Hatchback,Manual,Diesel,2009,131727,3rd+,Kerala,No,205734
Maruti Suzuki,Ertiga,Base,MPV,Manual,Petrol,2021,74494,1st,Delhi,No,1244100
Maruti Suzuki,Ignis,Z,Hatchback,Automatic,Petrol,2017,169864,2nd,Gujarat,No,1115244
Maruti Suzuki,Ignis,ZX,Hatchback,Manual,Diesel,2023,42473,1st,Telangana,Yes,862577
